domain,problem,status,time_taken(secs),memory_usage(MB),log_file
openstacks-opt08-strips , p30.pddl ,failure,0.239,40.524,./stderr_dir-l/openstacks-opt08-strips_stderr.log
pathways-noneg , p30.pddl ,success,0.762,46.164,./stderr_dir-l/pathways-noneg_stderr.log
caldera-opt18 , p20.pddl ,success,0.824,56.748,./stderr_dir-l/caldera-opt18_stderr.log
woodworking-opt08-strips , p30.pddl ,failure,0.194,38.888,./stderr_dir-l/woodworking-opt08-strips_stderr.log
pegsol-sat11-strips , p20.pddl ,failure,0.074,37.264,./stderr_dir-l/pegsol-sat11-strips_stderr.log
elevators-opt08-strips , p30.pddl ,failure,0.099,37.644,./stderr_dir-l/elevators-opt08-strips_stderr.log
termes-sat18 , p20.pddl ,success,0.331,39.848,./stderr_dir-l/termes-sat18_stderr.log
nomystery-opt11-strips , p20.pddl ,failure,0.074,37.332,./stderr_dir-l/nomystery-opt11-strips_stderr.log
snake-sat18 , p20.pddl ,success,1.632,65.38,./stderr_dir-l/snake-sat18_stderr.log
tpp , p30.pddl ,success,1.049,76.632,./stderr_dir-l/tpp_stderr.log
movie , prob30.pddl ,failure,0.133,37.672,./stderr_dir-l/movie_stderr.log
freecell , probfreecell-13-5.pddl ,success,0.572,53.164,./stderr_dir-l/freecell_stderr.log
tidybot-opt14-strips , p20.pddl ,failure,0.375,41.888,./stderr_dir-l/tidybot-opt14-strips_stderr.log
openstacks-sat08-adl , p30.pddl ,failure,0.066,37.376,./stderr_dir-l/openstacks-sat08-adl_stderr.log
elevators-00-strips , s30-4.pddl ,success,0.877,50.296,./stderr_dir-l/elevators-00-strips_stderr.log
barman-opt14-strips , p839.2.pddl ,success,0.194,38.348,./stderr_dir-l/barman-opt14-strips_stderr.log
parking-opt14-strips , p_20_11-04.pddl ,failure,0.062,37.252,./stderr_dir-l/parking-opt14-strips_stderr.log
floortile-opt11-strips , opt-p10-020.pddl ,success,0.234,39.044,./stderr_dir-l/floortile-opt11-strips_stderr.log
storage , p30.pddl ,failure,0.073,37.5,./stderr_dir-l/storage_stderr.log
driverlog , pfile20.pddl ,success,0.455,48.104,./stderr_dir-l/driverlog_stderr.log
tsp , pfile30.pddl ,success,0.060,36.968,./stderr_dir-l/tsp_stderr.log
settlers-sat18 , p20.pddl ,success,22.073,162.228,./stderr_dir-l/settlers-sat18_stderr.log
psr-small , p50-s107-n6-l2-f70.pddl ,success,0.375,42.876,./stderr_dir-l/psr-small_stderr.log
tyreworld , pfile30.pddl ,failure,0.085,37.636,./stderr_dir-l/tyreworld_stderr.log
schedule , probschedule-51-2.pddl ,success,0.421,41.588,./stderr_dir-l/schedule_stderr.log
parcprinter-opt11-strips , p20.pddl ,failure,0.243,38.824,./stderr_dir-l/parcprinter-opt11-strips_stderr.log
openstacks-strips , p30.pddl ,failure,201.033,2042.02,./stderr_dir-l/openstacks-strips_stderr.log
openstacks-opt14-strips , p50_3.pddl ,failure,0.319,43.012,./stderr_dir-l/openstacks-opt14-strips_stderr.log
scanalyzer-opt11-strips , p20.pddl ,failure,0.055,37.344,./stderr_dir-l/scanalyzer-opt11-strips_stderr.log
spider-opt18 , p20.pddl ,failure,0.133,39.068,./stderr_dir-l/spider-opt18_stderr.log
scanalyzer-08-strips , p30.pddl ,failure,0.063,37.496,./stderr_dir-l/scanalyzer-08-strips_stderr.log
barman-sat11-strips , pfile10-040.pddl ,failure,0.159,37.948,./stderr_dir-l/barman-sat11-strips_stderr.log
termes-opt18 , p20.pddl ,success,0.120,37.92,./stderr_dir-l/termes-opt18_stderr.log
snake-opt18 , p20.pddl ,success,0.312,44.176,./stderr_dir-l/snake-opt18_stderr.log
ferry , p-15locs-9cars.pddl ,success,0.158,37.988,./stderr_dir-l/ferry_stderr.log
visitall-sat11-strips , problem50.pddl ,success,5.416,120.412,./stderr_dir-l/visitall-sat11-strips_stderr.log
parcprinter-sat11-strips , p20.pddl ,failure,0.166,39.04,./stderr_dir-l/parcprinter-sat11-strips_stderr.log
woodworking-opt11-strips , p20.pddl ,failure,0.130,38.776,./stderr_dir-l/woodworking-opt11-strips_stderr.log
parking-sat11-strips , pfile13-050.pddl ,failure,0.049,37.156,./stderr_dir-l/parking-sat11-strips_stderr.log
pipesworld-notankage , p50-net5-b30-g8.pddl ,success,0.402,46.88,./stderr_dir-l/pipesworld-notankage_stderr.log
airport , p50-airport5MUC-p15.pddl ,success,20.334,264.808,./stderr_dir-l/airport_stderr.log
elevators-sat11-strips , p20.pddl ,failure,0.070,37.592,./stderr_dir-l/elevators-sat11-strips_stderr.log
briefcaseworld , pfile30.pddl ,success,0.166,38.828,./stderr_dir-l/briefcaseworld_stderr.log
floortile-sat14-strips , p05-6-5-3.pddl ,failure,0.088,37.544,./stderr_dir-l/floortile-sat14-strips_stderr.log
woodworking-sat08-strips , p30.pddl ,failure,0.212,38.748,./stderr_dir-l/woodworking-sat08-strips_stderr.log
agricola-opt18 , p12.pddl ,failure,0.280,39.624,./stderr_dir-l/agricola-opt18_stderr.log
hiking-sat14-strips , ptesting-3-4-8.pddl ,success,0.545,60.668,./stderr_dir-l/hiking-sat14-strips_stderr.log
citycar-opt14-adl , p3-3-3-3-2.pddl ,failure,0.091,37.68,./stderr_dir-l/citycar-opt14-adl_stderr.log
pegsol-opt11-strips , p20.pddl ,failure,0.063,37.42,./stderr_dir-l/pegsol-opt11-strips_stderr.log
pipesworld-06 , p50.pddl ,success,1.936,101.892,./stderr_dir-l/pipesworld-06_stderr.log
caldera-split-sat18 , p20.pddl ,failure,0.322,40.072,./stderr_dir-l/caldera-split-sat18_stderr.log
elevators-sat08-strips , p30.pddl ,failure,0.098,37.608,./stderr_dir-l/elevators-sat08-strips_stderr.log
organic-synthesis-opt18 , p20.pddl ,failure,242.400,55.104,./stderr_dir-l/organic-synthesis-opt18_stderr.log
no-mystery , prob30.pddl ,success,0.208,39.752,./stderr_dir-l/no-mystery_stderr.log
elevators-00-full , f30-4.pddl ,failure,0.645,47.872,./stderr_dir-l/elevators-00-full_stderr.log
pathways , p30.pddl ,success,0.956,45.66,./stderr_dir-l/pathways_stderr.log
hiking-opt14-strips , ptesting-2-4-7.pddl ,success,0.298,42.168,./stderr_dir-l/hiking-opt14-strips_stderr.log
maintenance-sat14-adl , maintenance.1.3.200.900.8-002.pddl ,success,5.638,101.24,./stderr_dir-l/maintenance-sat14-adl_stderr.log
childsnack-sat14-strips , child-snack_pfile19-2.pddl ,success,0.437,46.056,./stderr_dir-l/childsnack-sat14-strips_stderr.log
openstacks-sat11-strips , p20.pddl ,failure,3.264,79.788,./stderr_dir-l/openstacks-sat11-strips_stderr.log
optical-telegraphs , p48-opt49.pddl ,failure,0.183,38.48,./stderr_dir-l/optical-telegraphs_stderr.log
fridge , p-9fridges-10screws.pddl ,failure,0.024,36.784,./stderr_dir-l/fridge_stderr.log
openstacks-sat08-strips , p30.pddl ,failure,0.851,47.804,./stderr_dir-l/openstacks-sat08-strips_stderr.log
sokoban-sat08-strips , p30.pddl ,failure,0.087,37.62,./stderr_dir-l/sokoban-sat08-strips_stderr.log
miconic-fulladl , f30-4.pddl ,failure,1.187,49.248,./stderr_dir-l/miconic-fulladl_stderr.log
