domain,problem,status,time_taken(secs),memory_usage(MB),log_file
floortile-opt11-strips , opt-p10-020.pddl ,failure,0.083,37.528,./stderr_dir/floortile-opt11-strips_stderr.log
storage , p30.pddl ,failure,0.076,37.776,./stderr_dir/storage_stderr.log
driverlog , pfile20.pddl ,success,0.469,48.36,./stderr_dir/driverlog_stderr.log
tsp , pfile30.pddl ,success,0.069,36.88,./stderr_dir/tsp_stderr.log
settlers-sat18 , p20.pddl ,failure,0.561,44.212,./stderr_dir/settlers-sat18_stderr.log
psr-small , p50-s107-n6-l2-f70.pddl ,success,0.464,42.636,./stderr_dir/psr-small_stderr.log
tyreworld , pfile30.pddl ,failure,0.081,37.744,./stderr_dir/tyreworld_stderr.log
schedule , probschedule-51-2.pddl ,success,0.380,41.34,./stderr_dir/schedule_stderr.log
parcprinter-opt11-strips , p20.pddl ,success,0.302,40.392,./stderr_dir/parcprinter-opt11-strips_stderr.log
openstacks-strips , p30.pddl ,failure,169.185,2042.2,./stderr_dir/openstacks-strips_stderr.log
openstacks-opt14-strips , p50_3.pddl ,success,0.551,47.984,./stderr_dir/openstacks-opt14-strips_stderr.log
scanalyzer-opt11-strips , p20.pddl ,success,4.272,136.348,./stderr_dir/scanalyzer-opt11-strips_stderr.log
spider-opt18 , p20.pddl ,success,0.719,52.808,./stderr_dir/spider-opt18_stderr.log
scanalyzer-08-strips , p30.pddl ,success,2.369,97.148,./stderr_dir/scanalyzer-08-strips_stderr.log
barman-sat11-strips , pfile10-040.pddl ,success,0.189,39.62,./stderr_dir/barman-sat11-strips_stderr.log
termes-opt18 , p20.pddl ,success,0.105,37.92,./stderr_dir/termes-opt18_stderr.log
snake-opt18 , p20.pddl ,success,0.284,44.292,./stderr_dir/snake-opt18_stderr.log
ferry , p-15locs-9cars.pddl ,success,0.136,37.748,./stderr_dir/ferry_stderr.log
visitall-sat11-strips , problem50.pddl ,success,4.806,120.176,./stderr_dir/visitall-sat11-strips_stderr.log
parcprinter-sat11-strips , p20.pddl ,success,0.278,41.904,./stderr_dir/parcprinter-sat11-strips_stderr.log
woodworking-opt11-strips , p20.pddl ,success,0.254,39.752,./stderr_dir/woodworking-opt11-strips_stderr.log
parking-sat11-strips , pfile13-050.pddl ,success,0.666,68.108,./stderr_dir/parking-sat11-strips_stderr.log
pipesworld-notankage , p50-net5-b30-g8.pddl ,success,0.326,46.748,./stderr_dir/pipesworld-notankage_stderr.log
airport , p50-airport5MUC-p15.pddl ,success,16.290,264.924,./stderr_dir/airport_stderr.log
elevators-sat11-strips , p20.pddl ,success,1.098,69.6,./stderr_dir/elevators-sat11-strips_stderr.log
briefcaseworld , pfile30.pddl ,success,0.165,39.012,./stderr_dir/briefcaseworld_stderr.log
floortile-sat14-strips , p05-6-5-3.pddl ,success,0.207,38.628,./stderr_dir/floortile-sat14-strips_stderr.log
woodworking-sat08-strips , p30.pddl ,success,0.489,45.704,./stderr_dir/woodworking-sat08-strips_stderr.log
agricola-opt18 , p12.pddl ,success,1.563,104.42,./stderr_dir/agricola-opt18_stderr.log
hiking-sat14-strips , ptesting-3-4-8.pddl ,success,0.514,60.732,./stderr_dir/hiking-sat14-strips_stderr.log
citycar-opt14-adl , p3-3-3-3-2.pddl ,success,0.177,38.824,./stderr_dir/citycar-opt14-adl_stderr.log
pegsol-opt11-strips , p20.pddl ,success,0.188,38.4,./stderr_dir/pegsol-opt11-strips_stderr.log
pipesworld-06 , p50.pddl ,success,1.539,101.832,./stderr_dir/pipesworld-06_stderr.log
caldera-split-sat18 , p20.pddl ,success,3.123,89.908,./stderr_dir/caldera-split-sat18_stderr.log
elevators-sat08-strips , p30.pddl ,success,0.471,51.328,./stderr_dir/elevators-sat08-strips_stderr.log
organic-synthesis-opt18 , p20.pddl ,failure,250.746,55.128,./stderr_dir/organic-synthesis-opt18_stderr.log
no-mystery , prob30.pddl ,success,0.227,39.532,./stderr_dir/no-mystery_stderr.log
elevators-00-full , f30-4.pddl ,failure,0.712,47.96,./stderr_dir/elevators-00-full_stderr.log
pathways , p30.pddl ,success,0.765,45.868,./stderr_dir/pathways_stderr.log
hiking-opt14-strips , ptesting-2-4-7.pddl ,success,0.239,42.056,./stderr_dir/hiking-opt14-strips_stderr.log
maintenance-sat14-adl , maintenance.1.3.200.900.8-002.pddl ,success,5.676,100.804,./stderr_dir/maintenance-sat14-adl_stderr.log
childsnack-sat14-strips , child-snack_pfile19-2.pddl ,success,0.363,45.98,./stderr_dir/childsnack-sat14-strips_stderr.log
openstacks-sat11-strips , p20.pddl ,success,5.821,86.98,./stderr_dir/openstacks-sat11-strips_stderr.log
optical-telegraphs , p48-opt49.pddl ,failure,0.134,38.468,./stderr_dir/optical-telegraphs_stderr.log
fridge , p-9fridges-10screws.pddl ,failure,0.020,36.716,./stderr_dir/fridge_stderr.log
openstacks-sat08-strips , p30.pddl ,success,1.338,50.88,./stderr_dir/openstacks-sat08-strips_stderr.log
sokoban-sat08-strips , p30.pddl ,success,0.322,40.78,./stderr_dir/sokoban-sat08-strips_stderr.log
miconic-fulladl , f30-4.pddl ,failure,0.958,49.296,./stderr_dir/miconic-fulladl_stderr.log
